Ticker,Category,Exchange,Asset_Class
ZMAY,Defined Outcome / Buffer ETF,US Listing,Equity
ZJUN,Defined Outcome / Buffer ETF,US Listing,Equity
ZJUL,Defined Outcome / Buffer ETF,US Listing,Equity
ZAUG,Defined Outcome / Buffer ETF,US Listing,Equity
ZSEP,Defined Outcome / Buffer ETF,US Listing,Equity
ZOCT,Defined Outcome / Buffer ETF,US Listing,Equity
ZNOV,Defined Outcome / Buffer ETF,US Listing,Equity
ZDEK,Other,US Listing,Equity
AJAN,Defined Outcome / Buffer ETF,US Listing,Equity
AAPR,Other,US Listing,Equity
AJUL,Other,US Listing,Equity
AOCT,Other,US Listing,Equity
TJAN,Defined Outcome / Buffer ETF,US Listing,Equity
TAPR,Other,US Listing,Equity
TJUL,Other,US Listing,Equity
TOCT,Other,US Listing,Equity
DDSQ,Other,US Listing,Equity
DDNQ,Other,US Listing,Equity
DDTL,Other,US Listing,Equity
DDTS,Other,US Listing,Equity
DDTO,Other,US Listing,Equity
DDTN,Other,US Listing,Equity
DDTD,Other,US Listing,Equity
DDTJ,Other,US Listing,Equity
DDTF,Other,US Listing,Equity
DDFL,Other,US Listing,Equity
DDFS,Other,US Listing,Equity
DDFO,Other,US Listing,Equity
DDFN,Other,US Listing,Equity
DDFD,Other,US Listing,Equity
DDFJ,Other,US Listing,Equity
DDFF,Other,US Listing,Equity
LJAN,Defined Outcome / Buffer ETF,US Listing,Equity
LAPR,Other,US Listing,Equity
LJUL,Other,US Listing,Equity
LOCT,Other,US Listing,Equity
JANH,Other,US Listing,Equity
JANJ,Other,US Listing,Equity
APRH,Other,US Listing,Equity
APRJ,Other,US Listing,Equity
JULH,Other,US Listing,Equity
JULJ,Other,US Listing,Equity
OCTH,Other,US Listing,Equity
OCTJ,Other,US Listing,Equity
QTJA,Other,US Listing,Equity
QTAP,Other,US Listing,Equity
QTJL,Other,US Listing,Equity
QTOC,Other,US Listing,Equity
XBJA,Other,US Listing,Equity
XBAP,Other,US Listing,Equity
XBJL,Other,US Listing,Equity
XBOC,Other,US Listing,Equity
